pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
519,INSTA360 POWER SELFIE STICK*,INSTA360,160,359,1,"","",199,DCP-519,"",80,"0","0","0",8,"0","0","","","","0"
520,INSTA360 X SMALLRIG X3 UTILITY FRAME*,INSTA360,"0",289,3,"","",289,DCP-520,"",4,"0","0","0",8,"0","0","","","","0"
521,INSTA360 X3 FAST CHARGE HUB*,INSTA360,155,259,"0","","",104,DCP-521,"",11,"0","0","0",8,"0","0","","","","0"
522,INSTA360 SUCTION CUP CAR MOUNT*,INSTA360,100,199,2,"","",99,DCP-522,"",62,"0","0","0",8,"0","0","","","","0"
523,TELESIN U SHAPE NECK HOLDER MOUNT ,TELESIN,40,129,"0","","",89,DCP-523,"",46,"0","0","0",8,"0","0","","","","0"
524,INSTA360 ACE PRO DIVE CASE*,INSTA360,182,299,"0","","",117,DCP-524,"",130,"0","0","0",8,"0","0","","","","0"
525,INSTA360 2-IN-1 INVISIBLE SELFIE STICK + TRIPOD*,INSTA360,70,139,"0","","",69,DCP-525,"",51,"0","0","0",8,"0","0","","","","0"
526,EDOR 2-IN-1 INVISIBLE SELFIE STICK + TRIPOD ,EDOR,30,99,40,"","",69,DCP-526,"",523,"0","0","0",8,"0","0","","","","0"
527,INSTA360 X4 INVISIBLE DIVE CASE*,INSTA360,310,509,3,"","",199,DCP-527,"",210,"0","0","0",8,"0","0","","","","0"
528,INSTA360 BULLET TIME CORD*,INSTA360,55,89,"0","","",34,DCP-528,"",23,"0","0","0",8,"0","0","","","","0"
529,INSTA360 X4 STANDARD LENS GUARD,INSTA360,70,99,7,"","",29,DCP-529,"",21,"0","0","0",10,"0","0","","","","0"
530,INSTA360 ONE RS CORE AND BRACKET,INSTA360,700,800,"0","","",100,DCP-530,"",1,"0","0","0",10,"0","0","","","","0"
531,INSTA360 HELMET MOUNT BUNDLE*,INSTA360,48,99,"0","","",51,DCP-531,"",45,"0","0","0",8,"0","0","","","","0"
532,INSTA360 GO 3 LENS GUARD*,INSTA360,25,50,4,"","",25,DCP-532,"",13,"0","0","0",8,"0","0","","","","0"
533,INSTA360 GO 3 PIVOT STAND*,INSTA360,75,169,"0","","",94,DCP-533,"",9,"0","0","0",8,"0","0","","","","0"
534,INSTA360 HEAD STRAP*,INSTA360,70,99,3,"","",29,DCP-534,"",40,"0","0","0",8,"0","0","","","","0"
535,GO 3 / 3S SILICONE CASE ( CAMERA & ACTION POD ) ( OEM ),ACCESSORIES,5,20,107,"","",15,DCP-535,"",176,"0","0","0",8,"0","0","","","","0"
536,GO 3 SILICONE CASE ( ACTION POD ) ( OEM ),ACCESSORIES,2.5,20,"0","","",17.5,DCP-536,"","0","0","0","0",8,"0","0","","","","0"
537,GO 3 SILICONE CASE ( CAMERA ) ( OEM ),ACCESSORIES,2.5,20,"0","","",17.5,DCP-537,"","0","0","0","0",8,"0","0","","","","0"
538,GO 3 / 3S SCREEN PROTECTOR ( OEM ),ACCESSORIES,2,15,80,"","",13,DCP-538,"",230,"0","0","0",8,"0","0","","","","0"
539,INSTA360 X3 BATTERY*,INSTA360,115,189,"0","","",74,DCP-539,"",26,"0","0","0",8,"0","0","","","","0"
