pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
139,DJI MAVIC AIR 3 FRONT LANDING GEAR,DJI,40,60,"0","","",20,DCP-139,"",2,"0","0","0",9,"0","0","","","","0"
140,DJI MINI SE/2 SE/4K MIDDLE SHELL,DJI,60,240,3,"","",180,DCP-140,"",12,"0","0","0",10,"0","0","","","","0"
141,DJI MINI 4 PRO PITCH MOTOR,DJI,120,380,10,"","",260,DCP-141,"",3,"0","0","0",8,"0","0","","","","0"
142,DJI MAVIC MINI MIDDLE SHELL,DJI,35,230,8,"","",195,DCP-142,"",3,"0","0","0",10,"0","0","","","","0"
143,DJI PHANTOM 4 PRO POWER BOARD ,DJI,300,550,"0","","",250,DCP-143,"",1,"0","0","0",8,"0","0","","","","0"
144,DJI MAVIC PRO FRONT HINGE,DJI,15,70,8,"","",55,DCP-144,"",2,"0","0","0",10,"0","0","","","","0"
145,DJI RC-N1 CONTROLLER GIMBAL BOARD,DJI,10,50,"0","","",40,DCP-145,"",1,"0","0","0",9,"0","0","","","","0"
146,DJI MAVIC 2 PRO GIMBAL BOARD,DJI,"0",450,"0","","",450,DCP-146,"",3,"0","0","0",9,"0","0","","","","0"
147,DJI MAVIC 2 PRO GIMBAL ARM WITH CAMERA SENSOR,DJI,"0",950,"0","","",950,DCP-147,"",2,"0","0","0",9,"0","0","","","","0"
148,DJI MINI 4 PRO POWER CABLE,DJI,30,150,"0","","",120,DCP-148,"",3,"0","0","0",9,"0","0","","","","0"
149,DJI MAVIC 2 PRO/ZOOM GIMBAL MOUNT COVER,DJI,10,20,"0","","",10,DCP-149,"",1,"0","0","0",9,"0","0","","","","0"
150,DJI MAVIC 2 ZOOM CAMERA SENSOR,DJI,"0",550,"0","","",550,DCP-150,"",3,"0","0","0",9,"0","0","","","","0"
151,INSTA360 ONE RS CHARGING COVER ,INSTA360,"0",80,"0","","",80,DCP-151,"",4,"0","0","0",9,"0","0","","","","0"
152,MAVIC 2 ZOOM GIMBAL ARM ,DJI,400,750,"0","","",350,DCP-152,"",1,"0","0","0",9,"0","0","","","","0"
153,CANCEL ORDER,DELIVERY,"0","0",995,"","","0",DCP-153,"","0","0","0","0",9,"0","0","","","","0"
154,DJI MAVIC AIR 2S FRONT SENSOR COVER,DJI,10,40,1,"","",30,DCP-154,"",3,"0","0","0",10,"0","0","","","","0"
155,DJI NEO GIMBAL RIBBON CABLE,DJI,160,280,8,"","",120,DCP-155,"",6,"0","0","0",10,"0","0","","","","0"
156,DJI NEO GIMBAL BRACKET ,DJI,"0",180,"0","","",180,DCP-156,"",2,"0","0","0",10,"0","0","","","","0"
157,DJI NEO MIDDLE SHELL,DJI,200,300,4,"","",100,DCP-157,"",2,"0","0","0",10,"0","0","","","","0"
